,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
285,Clark University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clark-university-2139\%22,"#75, National Universities",70.05%,3.5,1280 / 29
289,Clayton State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clayton-state-university-8976\%22,"#66, Regional Colleges (South)",39.40%,3.0,1020 / 20
291,Clearwater Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/clearwater-christian-college-1473\%22,"RNP, National Liberal Arts Colleges",72.24%,3.4,1140 / 24
293,Clemson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clemson-university-3425\%22,"#62, National Universities",57.87%,4.0,1340 / 31
295,Cleveland Institute of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleveland-institute-of-art-3982\%22,"Unranked, Arts Schools",71.06%,3.3,1240 / 26
297,Cleveland State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleveland-state-university-3032\%22,"RNP, National Universities",63.15%,3.2,1150 / 24
298,Coastal Carolina University,http://premium.usnews.com/best-colleges/\%22/best-colleges/coastal-carolina-university-3451\%22,"#62, Regional Universities (South)",74.04%,3.3,1080 / 23
299,Coe College,http://premium.usnews.com/best-colleges/\%22/best-colleges/coe-college-1854\%22,"#120, National Liberal Arts Colleges",66.72%,3.6,1265 / 28
301,Coker College,http://premium.usnews.com/best-colleges/\%22/best-colleges/coker-college-3427\%22,"#16, Regional Colleges (South)",57.76%,3.0,1060 / 22
304,Colgate University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colgate-university-2701\%22,"#20, National Liberal Arts Colleges",29.35%,3.6,1450 / 32
305,College at Brockport--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-at-brockport-suny-2841\%22,"#54, Regional Universities (North)",47.74%,3.1,1160 / 26
306,College for Creative Studies,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-for-creative-studies-6771\%22,"Unranked, Arts Schools",44.58%,3.2,N/A / 25
307,College of Charleston,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-charleston-3428\%22,"#12, Regional Universities (South)",67.65%,3.9,1300 / 27
316,College of St. Benedict,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-benedict-2341\%22,"#94, National Liberal Arts Colleges",76.73%,3.7,1250 / 29
319,College of St. Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-mary-2540\%22,"Unranked, Regional Universities (Midwest)",51.74%,3.4,N/A / 24
320,College of St. Rose,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-rose-2705\%22,"#37, Regional Universities (North)",66.21%,3.5,1150 / 26
321,College of St. Scholastica,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-scholastica-2343\%22,"#33, Regional Universities (Midwest)",78.29%,3.5,1300 / 26
322,College of the Atlantic,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-the-atlantic-11385\%22,"#93, National Liberal Arts Colleges",70.63%,3.6,1370 / 33
323,College of the Holy Cross,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-the-holy-cross-2141\%22,"#25, National Liberal Arts Colleges",33.54%,3.9,1380 / 30
324,College of the Ozarks,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-the-ozarks-2500\%22,"#10, Regional Colleges (Midwest)",9.48%,3.6,1170 / 25
325,College of William and Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-william-and-mary-3705\%22,"#32, National Universities",32.17%,4.0,1460 / 32
326,College of Wooster,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-wooster-3037\%22,"#65, National Liberal Arts Colleges",58.06%,3.6,1320 / 30
329,Colorado Mesa University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-mesa-university-1358\%22,"RNP, National Liberal Arts Colleges",82.40%,3.0,1080 / 23
330,Colorado School of Mines,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-school-of-mines-1348\%22,"#91, National Universities",37.43%,3.8,1390 / 31
331,Colorado State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-state-university-1350\%22,"#121, National Universities",74.71%,3.6,1260 / 27
332,Colorado State University--Pueblo,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-state-university-pueblo-1365\%22,"RNP, Regional Universities (West)",94.34%,3.1,1050 / 23
335,Columbia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-college-3430\%22,"#46, Regional Universities (South)",62.45%,3.6,1110 / 25
338,Columbia International University,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-international-university-3429\%22,"#55, Regional Universities (South)",64.38%,3.7,1230 / 26
340,Columbus College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbus-college-of-art-and-design-3039\%22,"Unranked, Arts Schools",86.68%,3.1,1118 / 24
343,Concord University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concord-university-3810\%22,"#47, Regional Colleges (South)",49.06%,3.2,1090 / 24
345,Concordia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-college-2709\%22,"#32, Regional Colleges (North)",72.35%,2.9,1020 / 24
346,Concordia College--Moorhead,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-college-moorhead-2346\%22,"#138, National Liberal Arts Colleges",77.66%,3.6,1260 / 27
348,Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-2541\%22,"#51, Regional Universities (Midwest)",76.09%,3.5,1180 / 26
349,Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-29059\%22,"#63, Regional Universities (West)",69.47%,3.5,1140 / 26
350,Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-3191\%22,"#80, Regional Universities (West)",53.80%,3.4,1120 / 24
352,Concordia University Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-chicago-1666\%22,"#83, Regional Universities (Midwest)",55.39%,3.1,1135 / 23
353,Concordia University Texas,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-texas-3557\%22,"RNP, Regional Universities (West)",94.62%,3.3,1130 / 24
354,Concordia University Wisconsin,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-wisconsin-3842\%22,"#68, Regional Universities (Midwest)",70.20%,3.3,1130 / 25
355,Concordia University--St. Paul,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-st-paul-2347\%22,"#92, Regional Universities (Midwest)",65.35%,3.2,N/A / 24
357,Converse College,http://premium.usnews.com/best-colleges/\%22/best-colleges/converse-college-3431\%22,"#20, Regional Universities (South)",51.34%,3.8,1170 / 26
358,Cooper Union,http://premium.usnews.com/best-colleges/\%22/best-colleges/cooper-union-2710\%22,"#1, Regional Colleges (North)",7.02%,3.6,1480 / 33
360,Corban University,http://premium.usnews.com/best-colleges/\%22/best-colleges/corban-university-1339\%22,"#6, Regional Colleges (West)",34.04%,3.6,1180 / 25
362,Cornell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cornell-college-1856\%22,"#97, National Liberal Arts Colleges",52.87%,3.5,1375 / 30
364,Cornerstone University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cornerstone-university-2266\%22,"RNP, Regional Universities (Midwest)",71.15%,3.4,1195 / 26
366,Covenant College,http://premium.usnews.com/best-colleges/\%22/best-colleges/covenant-college-3484\%22,"#11, Regional Colleges (South)",57.04%,3.6,1300 / 28
368,Creighton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/creighton-university-2542\%22,"#1, Regional Universities (Midwest)",78.19%,3.8,1290 / 29
372,Culver-Stockton College,http://premium.usnews.com/best-colleges/\%22/best-colleges/culver-stockton-college-2460\%22,"#34, Regional Colleges (Midwest)",61.53%,3.2,1010 / 23
373,Cumberland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cumberland-university-3485\%22,"RNP, Regional Universities (South)",47.13%,3.3,990 / 23
374,CUNY--Baruch College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-baruch-college-4766\%22,"#22, Regional Universities (North)",24.83%,3.2,1320
375,CUNY--Brooklyn College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-brooklyn-college-2687\%22,"#69, Regional Universities (North)",31.98%,3.3,1200
376,CUNY--City College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-city-college-2688\%22,"#43, Regional Universities (North)",32.50%,3.2,1220
377,CUNY--College of Staten Island,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-college-of-staten-island-29040\%22,"#135, Regional Universities (North)",100.00%,3.0,1090
378,CUNY--Hunter College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-hunter-college-2689\%22,"#48, Regional Universities (North)",29.72%,3.2,1260
383,CUNY--Queens College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-queens-college-2690\%22,"#43, Regional Universities (North)",37.02%,3.8,1200
385,Curry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/curry-college-2143\%22,"RNP, Regional Universities (North)",84.11%,2.7,1010 / 21
388,Daemen College,http://premium.usnews.com/best-colleges/\%22/best-colleges/daemen-college-2808\%22,"RNP, Regional Universities (North)",50.37%,3.6,1130 / 26
389,Dakota State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dakota-state-university-3463\%22,"#86, Regional Universities (Midwest)",88.81%,3.1,1110 / 24
392,Dallas Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dallas-baptist-university-3560\%22,"#49, Regional Universities (West)",41.27%,3.5,1298 / 28
398,Davidson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/davidson-college-2918\%22,"#9, National Liberal Arts Colleges",24.82%,4.0,1440 / 32
402,Dean College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dean-college-2144\%22,"#33, Regional Colleges (North)",69.67%,2.4,950 / 19
403,Defiance College,http://premium.usnews.com/best-colleges/\%22/best-colleges/defiance-college-3041\%22,"#40, Regional Colleges (Midwest)",62.28%,3.0,1030 / 23
404,Delaware State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/delaware-state-university-1428\%22,"RNP, Regional Universities (North)",41.68%,3.0,970 / 19
405,Delaware Valley College,http://premium.usnews.com/best-colleges/\%22/best-colleges/delaware-valley-college-3252\%22,"#22, Regional Colleges (North)",74.44%,3.3,1110 / 25
406,Delta State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/delta-state-university-2403\%22,"#73, Regional Universities (South)",89.22%,3.2,1050 / 22
408,DePaul University,http://premium.usnews.com/best-colleges/\%22/best-colleges/depaul-university-1671\%22,"#121, National Universities",62.32%,3.6,1270 / 28
409,DePauw University,http://premium.usnews.com/best-colleges/\%22/best-colleges/depauw-university-1792\%22,"#54, National Liberal Arts Colleges",61.53%,3.5,1330 / 30
411,DeSales University,http://premium.usnews.com/best-colleges/\%22/best-colleges/desales-university-3986\%22,"#85, Regional Universities (North)",71.57%,3.2,1200 / 27
415,Dillard University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dillard-university-2004\%22,"RNP, National Liberal Arts Colleges",33.42%,2.9,940 / 20
418,Doane College,http://premium.usnews.com/best-colleges/\%22/best-colleges/doane-college-2544\%22,"#156, National Liberal Arts Colleges",76.46%,3.5,N/A / 26
419,Dominican College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dominican-college-2713\%22,"RNP, Regional Universities (North)",69.03%,2.8,970 / 20
420,Dominican University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dominican-university-1750\%22,"#13, Regional Universities (Midwest)",57.10%,3.4,1190 / 24
421,Dominican University of California,http://premium.usnews.com/best-colleges/\%22/best-colleges/dominican-university-of-california-1196\%22,"#31, Regional Universities (West)",76.47%,3.5,1150 / 25
423,Dordt College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dordt-college-1859\%22,"#6, Regional Colleges (Midwest)",79.13%,3.5,1240 / 28
425,Drake University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drake-university-1860\%22,"#3, Regional Universities (Midwest)",65.88%,3.7,1300 / 29
426,Drew University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drew-university-2603\%22,"#107, National Liberal Arts Colleges",85.07%,3.3,1220 / 28
427,Drexel University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drexel-university-3256\%22,"#97, National Universities",74.86%,3.6,1320 / 29
428,Drury University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drury-university-2461\%22,"#8, Regional Universities (Midwest)",82.45%,3.6,1341 / 28
431,Duquesne University,http://premium.usnews.com/best-colleges/\%22/best-colleges/duquesne-university-3258\%22,"#121, National Universities",74.71%,3.7,1200 / 27
432,Earlham College,http://premium.usnews.com/best-colleges/\%22/best-colleges/earlham-college-1793\%22,"#65, National Liberal Arts Colleges",74.93%,3.4,1360 / 30
433,East Carolina University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-carolina-university-2923\%22,"#181, National Universities",62.17%,3.6,1120 / 24
436,East Tennessee State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-tennessee-state-university-3487\%22,"RNP, National Universities",89.23%,3.3,1110 / 25
437,East Texas Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-texas-baptist-university-3564\%22,"#19, Regional Colleges (West)",58.21%,3.3,1060 / 22
439,Eastern Connecticut State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-connecticut-state-university-1425\%22,"#108, Regional Universities (North)",67.40%,3.0,1110 / 24
440,Eastern Illinois University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-illinois-university-1674\%22,"#36, Regional Universities (Midwest)",64.63%,3.1,N/A / 24
441,Eastern Kentucky University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-kentucky-university-1963\%22,"#55, Regional Universities (South)",60.02%,3.2,N/A / 25
442,Eastern Mennonite University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-mennonite-university-3708\%22,"#180, National Liberal Arts Colleges",70.18%,3.5,1200 / 27
443,Eastern Michigan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-michigan-university-2259\%22,"#77, Regional Universities (Midwest)",65.12%,3.2,1140 / 24
444,Eastern Nazarene College,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-nazarene-college-2145\%22,"RNP, National Liberal Arts Colleges",60.13%,3.0,1090 / 23
446,Eastern Oregon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-oregon-university-3193\%22,"RNP, Regional Universities (West)",67.00%,3.2,1050 / 24
448,Eastern Washington University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-washington-university-3775\%22,"#60, Regional Universities (West)",79.67%,3.2,1090 / 23
449,Eckerd College,http://premium.usnews.com/best-colleges/\%22/best-colleges/eckerd-college-1487\%22,"#141, National Liberal Arts Colleges",71.00%,3.3,1230 / 28
451,Edgewood College,http://premium.usnews.com/best-colleges/\%22/best-colleges/edgewood-college-3848\%22,"#190, National Universities",73.23%,3.4,1213 / 24
452,Edinboro University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/edinboro-university-of-pennsylvania-3321\%22,"#126, Regional Universities (North)",75.30%,3.2,1050 / 22
455,Elizabeth City State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/elizabeth-city-state-university-2926\%22,"#21, Regional Colleges (South)",45.58%,3.0,930 / 18
457,Elmhurst College,http://premium.usnews.com/best-colleges/\%22/best-colleges/elmhurst-college-1676\%22,"#11, Regional Universities (Midwest)",68.13%,3.4,1200 / 26
458,Elmira College,http://premium.usnews.com/best-colleges/\%22/best-colleges/elmira-college-2718\%22,"#9, Regional Colleges (North)",88.91%,3.2,1200 / 27
459,Elon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/elon-university-2927\%22,"#1, Regional Universities (South)",51.68%,4.0,1320 / 29
